Name,Facility_ID,Category,BusinessStatus,Sido,Sigungu,Dong,LotNumber,RoadAddress,PostalCode,lat,lon,PhoneNumber,LicenseDate,ClosingDate,LastUpdated,region_key,coord_status
펫바라기,470100003820140001,4701000,영업/정상 / 정상,전북특별자치도,남원시,남원시,전북특별자치도 남원시 보절면 신파리 403,전북특별자치도 남원시 보절면 파동신동길 161-29,55706.0,35.41549,127.3984,,2014-09-24,,2025-12-15,전북특별자치도_남원시,centroid_fallback
해피펫,472100003820200001,4721000,영업/정상 / 정상,전북특별자치도,완주군,완주군,전북특별자치도 완주군 이서면 은교리 508,전북특별자치도 완주군 이서면 팥죽이로 205-7,55367.0,35.89834,127.1197,063-242-2114,2020-03-05,,2025-12-15,전북특별자치도_완주군,centroid_fallback
전주 하늘,472100003820200002,4721000,영업/정상 / 정상,전북특별자치도,완주군,완주군,전북특별자치도 완주군 소양면 신원리 1-3 현대오일뱅크,"전북특별자치도 완주군 소양면 전진로 1630, 현대오일뱅크",55346.0,35.85619993620907,127.32321005086538,,2020-04-20,,2025-12-15,전북특별자치도_완주군,ok
오수 펫 추모공원,476100003820210001,4761000,영업/정상 / 정상,전북특별자치도,임실군,임실군,전북특별자치도 임실군 오수면 금암리 864-1 오수펫추모공원,"전북특별자치도 임실군 오수면 춘향로 1554-95, 오수펫추모공원",55955.0,35.53863008377923,127.34871604828876,063-643-0486,2021-07-20,,2025-12-15,전북특별자치도_임실군,ok
해늘마루,480000003820220001,4800000,영업/정상 / 정상,전라남도,목포시,목포시,전라남도 목포시 대양동 756-10,전라남도 목포시 고하대로 1140-17(대양동),58603.0,34.84029790265339,126.40274630379923,061-273-4000,2022-09-27,,2025-12-15,전라남도_목포시,ok
전남반려동물장례식장푸른솔,481000003820210001,4810000,영업/정상 / 정상,전라남도,여수시,여수시,전라남도 여수시 율촌면 취적리 964-3,전라남도 여수시 율촌면 조화길 31,59604.0,34.86557226785144,127.5898451200836,15667112,2021-07-21,,2025-12-15,전라남도_여수시,ok
순천 반려동물장례식장 하늘별,482000003820240001,4820000,영업/정상 / 정상,전라남도,순천시,순천시,전라남도 순천시 별량면 대룡리 1189-1 펫하늘별,"전라남도 순천시 별량면 송산길 259, 펫하늘별",58031.0,34.88550939641901,127.37679591334889,,2024-01-07,,2025-12-15,전라남도_순천시,ok
전남순천1004반려동물장례식장,482000003820250001,4820000,영업/정상 / 정상,전라남도,순천시,순천시,전라남도 순천시 서면 동산리 543-7 동물화장시설,"전라남도 순천시 서면 순천로 260-1, 동물화장시설",57906.0,34.952,127.51125,,2025-07-18,,2025-12-15,전라남도_순천시,centroid_fallback
별다만 광주전남,483000003820250001,4830000,영업/정상 / 정상,전라남도,나주시,나주시,"전라남도 나주시 다도면 신동리 76 , 467-46",전라남도 나주시 다도면 다도로 857,58319.0,35.01702,126.7569,061-337-1230,2025-03-25,,2026-02-05,전라남도_나주시,centroid_fallback
주식회사 퍼스트펫,483000003820250002,4830000,영업/정상 / 정상,전라남도,나주시,나주시,전라남도 나주시 다시면 신광리 911-4,전라남도 나주시 다시면 영산로 4952,58279.0,35.019593009185854,126.67833371560542,061-337-0991,2025-06-30,,2026-01-15,전라남도_나주시,ok
타임투반려동물 장례식장,496000003820210001,4960000,영업/정상 / 정상,전라남도,함평군,함평군,전라남도 함평군 학교면 월산리 259,전라남도 함평군 학교면 학교월봉길 217,57158.0,35.09983,126.5453,,2021-03-23,,2025-12-15,전라남도_함평군,centroid_fallback
경북반려동물장례식장,506000003820230001,5060000,영업/정상 / 정상,경상북도,김천시,김천시,경상북도 김천시 봉산면 신암리 396,경상북도 김천시 봉산면 영남대로 353,39561.0,36.12681,128.13269,,2023-03-28,,2025-12-15,경상북도_김천시,centroid_fallback
(주)모모리아,508000003820220001,5080000,영업/정상 / 정상,경상북도,구미시,구미시,경상북도 구미시 옥성면 농소리 950-1,경상북도 구미시 옥성면 이곡3길 69,39102.0,36.31647301369884,128.27384092976223,,2022-07-22,,2025-12-15,경상북도_구미시,ok
(주)젠틀펫,512000003820220001,5120000,영업/정상 / 정상,경상북도,문경시,문경시,경상북도 문경시 문경읍 진안리 350-4,경상북도 문경시 문경읍 문경대로 2430,36919.0,36.742322221786566,128.08204706190494,,2022-06-14,,2026-03-10,경상북도_문경시,ok
아이들랜드,513000003820190001,5130000,영업/정상 / 정상,경상북도,경산시,경산시,경상북도 경산시 와촌면 신한리 산 54-8,경상북도 경산시 와촌면 불굴사길 82,38405.0,35.8414,128.75855,15226979,2019-12-23,,2025-12-15,경상북도_경산시,centroid_fallback
(주)젠틀펫,513000003820240001,5130000,영업/정상 / 정상,경상북도,경산시,경산시,경상북도 경산시 점촌동 60-1,경상북도 경산시 한의대로 124 (점촌동),38577.0,35.808102373717745,128.77724503323088,,2024-07-31,,2025-12-15,경상북도_경산시,ok
리틀포즈 반려동물 장례식장,514100003820240001,5141000,영업/정상 / 정상,대구광역시,군위군,군위군,대구광역시 군위군 부계면 창평리 812,대구광역시 군위군 부계면 부흥로 118,43162.0,36.23182,128.56693,,2024-09-04,,2025-12-15,대구광역시_군위군,centroid_fallback
하얀민들레,519000003820150001,5190000,영업/정상 / 정상,경상북도,청도군,청도군,경상북도 청도군 화양읍 송금리 83,경상북도 청도군 화양읍 남성현로 852,38323.0,35.65473,128.72695,,2015-02-02,,2025-12-15,경상북도_청도군,centroid_fallback
강아지 펫 헤븐,521000003820200001,5210000,영업/정상 / 정상,경상북도,성주군,성주군,경상북도 성주군 선남면 오도리 91,경상북도 성주군 선남면 관용로 427,40042.0,35.91819,128.28815,,2020-06-02,,2025-12-15,경상북도_성주군,centroid_fallback
스윗드림 펫,522000003820200001,5220000,영업/정상 / 정상,경상북도,칠곡군,칠곡군,경상북도 칠곡군 가산면 다부리 651,경상북도 칠곡군 가산면 다부거문1길 51-68,39851.0,36.03436,128.40023,054-974-2220,2020-06-03,,2025-12-15,경상북도_칠곡군,centroid_fallback
주식회사 아이헤븐,535000003820180001,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 생림면 봉림리 872-1,경상남도 김해시 생림면 생림대로928번길 10-5,50800.0,35.34067506594358,128.84818513119353,15775474,2018-06-14,,2025-12-15,경상남도_김해시,ok
포포즈 반려동물장례식장 김해점,535000003820180002,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 한림면 안하리 264-12,경상남도 김해시 한림면 안하로 102,50852.0,35.3087391144998,128.8246689971608,18118044,2018-12-19,,2025-12-15,경상남도_김해시,ok
별이되다,535000003820190001,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 생림면 나전리 1065-8,경상남도 김해시 생림면 나전로137번길 31,50802.0,35.29802860694884,128.87329610921526,,2019-02-21,,2025-12-15,경상남도_김해시,ok
펫로스 케어,535000003820190002,5350000,영업/정상 / 정상,경상남도,김해시,김해시,경상남도 김해시 상동면 우계리 112-1,경상남도 김해시 상동면 묵방로109번길 3,50805.0,35.29915990926504,128.9115711324649,,2019-04-10,,2025-12-15,경상남도_김해시,ok
메리온,538000003820160001,5380000,영업/정상 / 정상,경상남도,양산시,양산시,경상남도 양산시 상북면 외석리 462-2,경상남도 양산시 상북면 오룡길 152,50582.0,35.34531,129.05109,055-374-6503,2016-03-29,,2025-12-15,경상남도_양산시,centroid_fallback
(주)펫노블레스,538000003820190001,5380000,영업/정상 / 정상,경상남도,양산시,양산시,경상남도 양산시 상북면 상삼리 산 17-3,경상남도 양산시 상북면 공원로3길 19-91,50579.0,35.34531,129.05109,055-374-4400,2019-07-19,,2025-12-15,경상남도_양산시,centroid_fallback
한별 리멤버파크,540000003820190001,5400000,영업/정상 / 정상,경상남도,함안군,함안군,경상남도 함안군 법수면 대송리 10-7,경상남도 함안군 법수면 이묵골로 135-3,52056.0,35.33592369562219,128.3557654325687,055-582-0042,2019-07-26,,2026-03-10,경상남도_함안군,ok
주식회사 하늘소풍,542000003820170001,5420000,영업/정상 / 정상,경상남도,고성군,고성군,경상남도 고성군 회화면 봉동리 608-1,경상남도 고성군 회화면 봉오로 145-21,52916.0,35.079534074463474,128.3946526248159,,2017-08-08,,2025-12-15,경상남도_고성군,ok
포포즈 반려동물장례식장 화성2호점,553000003820170001,5530000,영업/정상 / 정상,경기도,화성시,화성시,경기도 화성시 만세구 서신면 사곶리 5-18,경기도 화성시 만세구 서신면 안벼슬길102번길 165,18556.0,37.19331,126.99159,,2017-12-08,,2026-02-01,경기도_화성시,centroid_fallback
포포즈 반려동물장례식장 화성1호점,553000003820190001,5530000,영업/정상 / 정상,경기도,화성시,화성시,경기도 화성시 만세구 팔탄면 창곡리 925-6,경기도 화성시 만세구 팔탄면 독곡길 24-42,18525.0,37.17503095869085,126.89460740744568,,2019-06-05,,2026-02-01,경기도_화성시,ok
21그램 반려동물장례식장 화성점,553000003820190003,5530000,영업/정상 / 정상,경기도,화성시,화성시,경기도 화성시 효행구 비봉면 양노리 755-5,경기도 화성시 효행구 비봉면 양노남길 108,18284.0,37.21931830891267,126.86857683782677,02-1688-1240,2019-09-03,,2026-02-06,경기도_화성시,ok
스토리펫,553000003820210001,5530000,영업/정상 / 정상,경기도,화성시,화성시,경기도 화성시 효행구 정남면 문학리 663,경기도 화성시 효행구 정남면 서봉로851번길 83,18522.0,37.19331,126.99159,031-353-5579,2021-08-18,,2026-02-01,경기도_화성시,centroid_fallback
21그램 반려동물장례식장,554000003820080001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 매산동 139,경기도 광주시 매자리길 185-35 (매산동),12798.0,37.39952,127.2764,02-401-3384,2008-03-07,,2026-01-28,경기도_광주시,centroid_fallback
러브펫 반려동물장례식장,554000003820140001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 초월읍 지월리 712-10,경기도 광주시 초월읍 현산로361번길 12,12728.0,37.41677764167901,127.28451934604117,031-796-4341,2014-07-14,,2025-12-15,경기도_광주시,ok
포포즈 반려동물 장례식장 경기광주점,554000003820150001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 초월읍 신월리 592-19,경기도 광주시 초월읍 산수로 409-11,12729.0,37.39718215590033,127.30988338278055,,2015-10-30,,2025-12-15,경기도_광주시,ok
펫포레스트 반려동물장례식장 경기광주점,554000003820160001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 문형동 749-5,경기도 광주시 문형동 오포안로 77,12774.0,37.39952,127.2764,,2016-11-17,,2025-12-15,경기도_광주시,centroid_fallback
(주)해피엔딩,554000003820170001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 초월읍 지월리 134,경기도 광주시 초월읍 지월로100번길 18,12728.0,37.39952,127.2764,,2017-04-11,,2025-12-15,경기도_광주시,centroid_fallback
백꽃사랑하이빛,554000003820200001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 곤지암읍 부항리 236,경기도 광주시 곤지암읍 신만로 305,12723.0,37.39952,127.2764,,2020-07-16,,2025-12-15,경기도_광주시,centroid_fallback
하늘강아지 반려동물 장례식장,554000003820230001,5540000,영업/정상 / 정상,경기도,광주시,광주시,경기도 광주시 초월읍 선동리 386-5,경기도 광주시 초월읍 선장동길 31-3,12732.0,37.38889530431817,127.3182873459567,,2023-03-21,,2025-12-15,경기도_광주시,ok
포포즈 반려동물장례식장 양주점,559000003820170001,5590000,영업/정상 / 정상,경기도,양주시,양주시,경기도 양주시 광적면 비암리 583-4,경기도 양주시 광적면 부흥로 145,11424.0,37.80921176748429,126.9215540019768,031-878-7779,2017-11-08,,2026-03-10,경기도_양주시,ok
스타펫,560000003820190001,5600000,영업/정상 / 정상,경기도,포천시,포천시,경기도 포천시 내촌면 진목리 225,경기도 포천시 내촌면 진금로 34,11190.0,37.88507,127.19692,,2021-07-13,,2025-12-15,경기도_포천시,centroid_fallback
한별 반려동물 장례식장,567000003820230001,5670000,영업/정상 / 정상,경상남도,창원시,창원시,경상남도 창원시 진해구 용원동 11 주식회사어울림,"경상남도 창원시 진해구 진해대로 2507, 주식회사어울림 (용원동)",51603.0,35.21244,128.64282,,2023-05-26,,2025-12-15,경상남도_창원시,centroid_fallback
포포즈 반려동물 장례식장 세종점,569000003820170001,5690000,영업/정상 / 정상,세종특별자치시,부강면,부강면,세종특별자치시 부강면 부강리 658-2,세종특별자치시 부강면 시목부강로 620,30074.0,36.52003925465734,127.37787931565832,,2017-04-07,,2025-12-15,세종특별자치시_부강면,ok
21그램 반려동물장례식장 세종점,569000003820210001,5690000,영업/정상 / 정상,세종특별자치시,장군면,장군면,세종특별자치시 장군면 금암리 88-1,세종특별자치시 장군면 정동길 76,30056.0,36.49965,127.21031,02-1688-1240,2021-12-20,,2026-03-06,세종특별자치시_장군면,centroid_fallback
반려마루 추모관,570000003820260001,5700000,영업/정상 / 정상,경기도,여주시,여주시,경기도 여주시 상거동 380-5,경기도 여주시 명품로 355 (상거동),12658.0,37.237616713740586,127.61480593579414,031-8030-4482,2026-01-23,,2026-03-10,경기도_여주시,ok
러블리엔젤,571000003820150001,5710000,영업/정상 / 정상,충청북도,청주시,청주시,충청북도 청주시 서원구 남이면 구미리 233-1,충청북도 청주시 서원구 남이면 구미1길 37-47,28184.0,36.56681898699512,127.3828068679674,043-264-2666,2015-07-01,,2025-12-15,충청북도_청주시,ok
주식회사 21그램그룹,571000003820170001,5710000,영업/정상 / 정상,충청북도,청주시,청주시,충청북도 청주시 상당구 남일면 가중리 309-1,충청북도 청주시 상당구 남일면 신송서원길 120-30,28186.0,36.56545769750733,127.48190044926736,16881240,2017-05-09,,2026-01-16,충청북도_청주시,ok
어름비 반려동물 장례식장,651000003820250001,6510000,영업/정상 / 정상,제주특별자치도,제주시,제주시,제주특별자치도 제주시 애월읍 어음리 1983-1,"제주특별자치도 제주시 애월읍 어음13길 16, 14호",63038.0,33.40047425558358,126.34466209370017,064-799-7766,2025-12-18,,2025-12-20,제주특별자치도_제주시,ok
㈜펫문,313000003820240001,3130000,영업/정상 / 정상,서울특별시,마포구,마포구,서울특별시 마포구 합정동 370-39,"서울특별시 마포구 성지5길 19, 3층 (합정동)",4083.0,37.54624645432542,126.9139761988892,02-322-1004,2024-12-09,,2025-12-15,서울특별시_마포구,ok
파트라슈,340000003820140001,3400000,영업/정상 / 정상,부산광역시,기장군,기장군,부산광역시 기장군 장안읍 좌동리 49-1,부산광역시 기장군 장안읍 기장대로 1561-68,46029.0,35.32976392868652,129.2434090838207,051-723-2201,2014-10-02,,2025-12-15,부산광역시_기장군,ok
아이별,340000003820200001,3400000,영업/정상 / 정상,부산광역시,기장군,기장군,부산광역시 기장군 장안읍 기룡리 240,부산광역시 기장군 장안읍 기룡길 11-33,46028.0,35.28407,129.2053,051-727-4499,2020-11-26,,2025-12-15,부산광역시_기장군,centroid_fallback
센트럴파크(주),340000003820210001,3400000,영업/정상 / 정상,부산광역시,기장군,기장군,부산광역시 기장군 일광읍 동백리 383-2,부산광역시 기장군 일광읍 차양길 175,46040.0,35.294406551586526,129.2485132082341,051-728-5411,2021-02-24,,2025-12-15,부산광역시_기장군,ok
(주)동물사랑 대구러브펫,347000003820140001,3470000,영업/정상 / 정상,대구광역시,달서구,달서구,대구광역시 달서구 장동 50,대구광역시 달서구 문화회관9길 71 (장동),42699.0,35.83592,128.53409,053-593-4900,2014-03-26,,2025-12-15,대구광역시_달서구,centroid_fallback
어게인,356000003820200001,3560000,영업/정상 / 정상,인천광역시,서구,서구,인천광역시 서구 오류동 434-119 (주)어게인,"인천광역시 서구 원당대로262번길 40, (주)어게인 (오류동)",22669.0,37.58573472892206,126.62750522524018,,2020-02-14,,2025-12-15,인천광역시_서구,ok
(주)더포에버,356000003820200002,3560000,영업/정상 / 정상,인천광역시,서구,서구,인천광역시 서구 대곡동 361-2,인천광역시 서구 설원로 79 (대곡동),22600.0,37.62581549440001,126.67455654308556,031-713-5002,2020-12-18,,2025-12-15,인천광역시_서구,ok
아이드림펫,356000003820250001,3560000,영업/정상 / 정상,인천광역시,서구,서구,인천광역시 서구 오류동 434-114,인천광역시 서구 원당대로246번길 15 (오류동),22669.0,37.58710502479595,126.62804061656595,,2025-10-14,,2025-12-15,인천광역시_서구,ok
(주) 하늘펫,363000003820160001,3630000,영업/정상 / 정상,광주광역시,광산구,광산구,광주광역시 광산구 지죽동 409-14,광주광역시 광산구 평동매화길 34 (지죽동),62413.0,35.1407467442259,126.7596741147902,062-946-2626,2016-05-10,,2025-12-15,광주광역시_광산구,ok
(주)하늘정원,363000003820250001,3630000,영업/정상 / 정상,광주광역시,광산구,광산구,광주광역시 광산구 양동 684-4,광주광역시 광산구 체암로 1685-2 (양동),62407.0,35.15023899203283,126.65628979541476,062-714-2979,2025-01-03,,2025-12-15,광주광역시_광산구,ok
(주)반려동물 장례지원단,364000003820240001,3640000,영업/정상 / 정상,대전광역시,동구,동구,대전광역시 동구 이사동 290-2,대전광역시 동구 모암로 128-6 (이사동),34710.0,36.294328788739584,127.44490340852398,,2024-08-09,,2025-12-15,대전광역시_동구,ok
(주)젠틀펫,372000003820240001,3720000,영업/정상 / 정상,,,북구,울산광역시 북구 진장동 859,,,,,,2024-08-28,,2025-12-15,_,missing_coord
이별공간,373000003820190001,3730000,영업/정상 / 정상,울산광역시,울주군,울주군,울산광역시 울주군 삼동면 조일리 906-4,울산광역시 울주군 삼동면 삼동로 140,44956.0,35.49847350164489,129.10583186667807,,2019-03-12,,2025-12-15,울산광역시_울주군,ok
주식회사 펫콤,393000003820220001,3930000,영업/정상 / 정상,경기도,안산시,안산시,경기도 안산시 단원구 목내동 517-9 동신엔지니어링,"경기도 안산시 단원구 엠티브이1로 159, 동신엔지니어링 (목내동)",15658.0,37.29530751274031,126.77338867163228,,2022-06-22,,2025-12-15,경기도_안산시,ok
펫콤 안산점,393000003820240001,3930000,영업/정상 / 정상,경기도,안산시,안산시,경기도 안산시 상록구 양상동 42-12,경기도 안산시 상록구 서당길 10 (양상동),15208.0,37.3548698830683,126.84662460570144,18335158,2024-03-08,,2025-12-15,경기도_안산시,ok
펫브릿지,393000003820240002,3930000,영업/정상 / 정상,경기도,안산시,안산시,경기도 안산시 단원구 원시동 770-3 신안산비즈스타복합지식산업센터,"경기도 안산시 단원구 산단로 232, 신안산비즈스타복합지식산업센터 7층 710호 (원시동)",15433.0,37.31615182827879,126.7904589412459,16702818,2024-12-23,,2025-12-15,경기도_안산시,ok
(주)펫바라기,394000003820150001,3940000,영업/정상 / 정상,경기도,고양시,고양시,경기도 고양시 일산동구 설문동 515-1,경기도 고양시 일산동구 은마길63번길 25-2 (설문동),10252.0,37.7136941249026,126.80586818400036,031-976-3179,2015-11-11,,2025-12-15,경기도_고양시,ok
몽몽이엠파크 반려동물장례식장,399000003820190001,3990000,영업/정상 / 정상,경기도,남양주시,남양주시,경기도 남양주시 화도읍 구암리 305,경기도 남양주시 화도읍 모꼬지로17번길 136,12192.0,37.65084,127.20207,18111336,2019-10-29,,2025-12-15,경기도_남양주시,centroid_fallback
21그램 반려동물 장례식장 남양주점,399000003820230001,3990000,영업/정상 / 정상,경기도,남양주시,남양주시,경기도 남양주시 화도읍 차산리 856-1,경기도 남양주시 화도읍 수레로964번길 86,12199.0,37.625959911489005,127.29028112805706,16881240,2023-09-13,,2026-01-28,경기도_남양주시,ok
펫포레스트 반려동물장례식장 남양주점,399000003820240001,3990000,영업/정상 / 정상,경기도,남양주시,남양주시,경기도 남양주시 와부읍 월문리 114-1,"경기도 남양주시 와부읍 수레로 699, 지하1층",12202.0,37.61968077784821,127.2764665293607,,2024-08-22,,2025-12-15,경기도_남양주시,ok
리멤버반려동물장례식장,405000003820190001,4050000,영업/정상 / 정상,경기도,용인시,용인시,경기도 용인시 처인구 남사읍 방아리 883-3,경기도 용인시 처인구 남사읍 원암로 535,17123.0,37.107374335777735,127.1721442910326,,2019-04-15,,2026-01-07,경기도_용인시,ok
전주 반려동물장례식장 아리움,464100003820220001,4641000,영업/정상 / 정상,전북특별자치도,전주시,전주시,전북특별자치도 전주시 완산구 효자동3가 1039-1,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-44(효자동3가),54878.0,35.825012370628,127.08590819001314,063-223-7942,2022-07-05,,2026-02-03,전북특별자치도_전주시,ok
서래안 펫타운,467100003820210001,4671000,영업/정상 / 정상,전북특별자치도,군산시,군산시,전북특별자치도 군산시 경암동 570-39,"전북특별자치도 군산시 서래안1길 11, 2층 (경암동)",54031.0,35.981878858052326,126.72513134903078,,2021-11-25,,2025-12-15,전북특별자치도_군산시,ok
포포즈 반려동물장례식장 용인점,405000003820200001,4050000,영업/정상 / 정상,경기도,용인시,용인시,경기도 용인시 처인구 양지읍 추계리 109-1,경기도 용인시 처인구 양지읍 중부대로2670번길 16-19,17163.0,37.28489,127.13928,,2020-01-14,,2026-01-30,경기도_용인시,centroid_fallback
주식회사 아리아펫,407000003820170001,4070000,영업/정상 / 정상,경기도,이천시,이천시,경기도 이천시 마장면 장암리 525-1,경기도 이천시 마장면 이장로 329-2,17383.0,37.279499060325776,127.39051298191556,031-635-2266,2017-02-16,,2025-12-15,경기도_이천시,ok
엔젤스톤,409000003820080002,4090000,영업/정상 / 정상,경기도,김포시,김포시,경기도 김포시 하성면 양택리 251-6,경기도 김포시 하성면 하성로 720,10008.0,37.736423322273424,126.6298729379436,031-981-0271,2013-07-12,,2025-12-15,경기도_김포시,ok
펫포레스트 반려동물장례식장 김포점,409000003820080003,4090000,영업/정상 / 정상,경기도,김포시,김포시,경기도 김포시 통진읍 귀전리 167,경기도 김포시 통진읍 고정로 308,10010.0,37.64559,126.65977,,2008-11-07,,2025-12-15,경기도_김포시,centroid_fallback
포포즈 반려동물장례식장 김포점,409000003820170001,4090000,영업/정상 / 정상,경기도,김포시,김포시,경기도 김포시 월곶면 개곡리 810-1,경기도 김포시 월곶면 애기봉로 262,10003.0,37.73020368860931,126.57562207808672,15882888,2017-05-02,,2025-12-15,경기도_김포시,ok
ROYHILLS,417000003820230001,4170000,영업/정상 / 정상,경기도,양평군,양평군,경기도 양평군 양동면 삼산리 18,경기도 양평군 양동면 양동금곡4길 10,12540.0,37.50092,127.49665,18552004,2023-09-07,,2026-03-10,경기도_양평군,centroid_fallback
주식회사 패투헤븐,419000003820220001,4191000,영업/정상 / 정상,강원특별자치도,원주시,원주시,강원특별자치도 원주시 소초면 평장리 1048-1,"강원특별자치도 원주시 소초면 현촌길 90-3, 나동",26305.0,37.42576645205202,127.9961324987538,033-745-4211,2022-10-12,,2025-12-15,강원특별자치도_원주시,ok
강릉펫사랑(장례식장),420000003820180001,4201000,영업/정상 / 정상,강원특별자치도,강릉시,강릉시,강원특별자치도 강릉시 사천면 석교리 779,강원특별자치도 강릉시 사천면 구라미길 376,25434.0,37.77505,128.88675,,2018-12-20,,2025-12-15,강원특별자치도_강릉시,centroid_fallback
굿바이펫,440000003820120001,4400000,영업/정상 / 정상,충청북도,제천시,제천시,충청북도 제천시 봉양읍 장평리 37-1,충청북도 제천시 봉양읍 장평로 95,,37.13332,128.20675,043-642-1537,2012-12-13,,2025-12-15,충청북도_제천시,centroid_fallback
대전 이별공간,443000003820200001,4430000,영업/정상 / 정상,충청북도,옥천군,옥천군,충청북도 옥천군 이원면 평계리 992-2 음식점,"충청북도 옥천군 이원면 이원로 47, 음식점",29064.0,36.18292945115134,127.62845925148984,,2020-11-09,,2025-12-15,충청북도_옥천군,ok
스마일 어게인,444000003820200001,4440000,영업/정상 / 정상,충청북도,영동군,영동군,충청북도 영동군 추풍령면 작점리 148,충청북도 영동군 추풍령면 작동1길 81,29120.0,36.17435,127.77721,15449262,2020-07-15,,2026-01-07,충청북도_영동군,centroid_fallback
21그램 반려동물 장례식장 천안아산점,565000003820140001,4490000,영업/정상 / 정상,충청남도,천안시,천안시,충청남도 천안시 동남구 구룡동 481,충청남도 천안시 동남구 광풍로 1668 (구룡동),31212.0,36.81809,127.14993,,2014-06-23,,2026-01-30,충청남도_천안시,centroid_fallback
(주)좋은친구들,450000003820140001,4500000,영업/정상 / 정상,충청남도,공주시,,,충청남도 공주시 우성면 보흥2길 36-61,32533.0,36.47162,127.11813,,2014-09-24,,2025-12-15,충청남도_공주시,centroid_fallback
리멤버파크,454000003820180002,4540000,영업/정상 / 정상,충청남도,논산시,논산시,충청남도 논산시 연산면 청동리 16,충청남도 논산시 연산면 계백로 2172-13,32911.0,36.18904,127.09822,041-735-1700,2020-07-24,,2025-12-15,충청남도_논산시,centroid_fallback
예산 위드엔젤,461000003820130001,4610000,영업/정상 / 정상,,,예산군,충청남도 예산군 대술면 화산리 464-1,,,36.69833481286359,126.91712469468092,041-332-8787,2013-10-28,,2025-12-15,_,ok
