CareRegNo,CareNm,OrgNm,DivisionNm,SaveTrgtAnimal,CareTel,DataStdDt,DsignationDate,CareAddr,JibunAddr,lat,lon,WeekOprStime,WeekOprEtime,WeekCellStime,WeekCellEtime,WeekendOprStime,WeekendOprEtime,WeekendCellStime,WeekendCellEtime,CloseDay,VetPersonCnt,SpecsPersonCnt,MedicalCnt,BreedCnt,QuarantineCnt,FeedCnt,TransCarCnt,Sido,Sigungu,region_key,coord_status
327346201500001,(사)대구수의사회,대구광역시 수성구,법인,개+고양이+기타,053-764-3708,2025-01-03,2017-01-01,대구광역시 북구 호국로 229 (서변동) 6층, 6층,35.922276,128.59904,00:00,24:00,,,,,,,0,0,0,,,,,,대구광역시,북구,대구광역시_북구,ok
348535202400001,(사)동물보호관리협회,경상남도 김해시,법인,개+고양이+기타,051-971-6208,2026-01-02,2025-01-01,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) , ,35.178925,128.89975,09:00,17:00,13:00,15:00,,,,,토요일+일요일,1,6,1.0,1.0,1.0,1.0,3.0,부산광역시,강서구,부산광역시_강서구,ok
326338201300001,(사)동부동물보호협회,부산광역시 수영구,법인,개+고양이+기타,051-701-7599,2026-01-20,2025-11-14,부산광역시 해운대구 송정2로13번길 46 (송정동) , ,35.194817,129.20631,09:00,18:00,14:00,16:00,10:00,14:00,10:00,13:00,일요일,2,5,3.0,15.0,3.0,1.0,3.0,부산광역시,해운대구,부산광역시_해운대구,ok
326331201100001,(사)동부동물보호협회,부산광역시 남구,법인,개+고양이+기타,051-701-7599,2024-11-27,2024-01-01,부산광역시 해운대구 송정2로13번길 46 (송정동) ,부산광역시 해운대구 송정동 85-1 ,35.181606,129.19846,09:00,18:00,14:00,16:00,10:00,14:00,10:00,13:00,일요일,2,5,3.0,15.0,3.0,1.0,3.0,부산광역시,해운대구,부산광역시_해운대구,ok
326330202400001,(사)동부동물보호협회,부산광역시 동래구,법인,개+고양이+기타,051-701-7599,2025-01-20,2025-01-01,부산광역시 해운대구 송정2로13번길 46 (송정동) ,부산광역시 해운대구 송정동 85-1 ,35.194817,129.20631,09:00,18:00,,,,,,,토요일+일요일,2,4,,,,,,부산광역시,해운대구,부산광역시_해운대구,ok
347502201600001,(사)영일동물플러스,경상북도 포항시,단체,개+고양이+야생동물,054-262-8295,2025-07-01,2019-07-01,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) , ,36.145683,129.33263,09:00,18:00,,,,,,,0,2,5,1.0,6.0,1.0,1.0,1.0,경상북도,포항시,경상북도_포항시,ok
327348201700003,119동물병원,대구광역시 달성군,동물병원,개+고양이,053-585-1195,2025-01-31,2017-02-01,"대구광역시 달성군 다사읍 달구벌대로 893 (다사읍, 대실요양병원 장례식장) 다사읍 관할", 다사읍 관할,35.857166,128.46654,09:30,18:30,09:30,18:30,09:30,16:00,09:30,16:00,일요일,1,1,1.0,1.0,1.0,1.0,1.0,대구광역시,달성군,대구광역시_달성군,ok
311303202500006,24시센트럴동물메디컬,서울특별시 성동구,동물병원,개+고양이,02-3395-7975,,2025-03-05,서울특별시 성동구 고산자로 207 (행당동) ,서울특별시 성동구 행당동 318-36 무학빌딩 ,37.55869,127.03371,00:00,24:00,,,,,,,0,13,15,,,,,,서울특별시,성동구,서울특별시_성동구,ok
341386200900001,24시아이동물메디컬,경기도 부천시,동물병원,개+고양이+등,032-677-5262,2025-01-10,2021-01-01,경기도 부천시 오정구 소사로 779 (원종동) 201호,경기도 부천시 원종동 229-8 뉴월드프라자 201호,37.52566,126.804565,00:00,24:00,,,,,,,0,7,5,,,,,,경기도,부천시,경기도_부천시,ok
347522202600002,25세 동물병원,경상북도 칠곡군,동물병원,고양이,054-974-0975,,2021-05-18,경상북도 칠곡군 왜관읍 석전로7길 1  ,경상북도 칠곡군 왜관읍 석전리 536-8 ,36.00085,128.40858,09:00,18:00,,,,,,,토요일+일요일,1,1,,,,,,경상북도,칠곡군,경상북도_칠곡군,ok
350652202600002,AVC반려동물메디컬,제주특별자치도 서귀포시,동물병원,개+고양이,064-732-4788,,2026-01-01,제주특별자치도 서귀포시 하효로 58 (하효동) ,제주특별자치도 서귀포시 하효동 28-3 ,33.266632,126.61955,00:00,24:00,,,,,,,일요일,1,1,2.0,6.0,1.0,1.0,,제주특별자치도,서귀포시,제주특별자치도_서귀포시,ok
311324201600004,GD동물병원,서울특별시 강동구,동물병원,개+고양이,02-429-8822,2025-12-31,2023-01-01,서울특별시 강동구 상일로 13 (상일동) 1~2층 GD동물병원,서울특별시 강동구 상일동 341-2 1~2층 GD동물병원,37.548244,127.17312,10:00,19:00,,,10:00,17:00,,,일요일+공휴일,1,1,1.0,1.0,1.0,1.0,,서울특별시,강동구,서울특별시_강동구,ok
341386201800001,가나동물병원,경기도 부천시,동물병원,개+고양이+등,032-665-0075,2025-01-09,2021-01-01,경기도 부천시 소사구 경인로 72 (송내동) , ,37.48355,126.76318,10:00,19:00,,,,,,,일요일,1,1,,,,,,경기도,부천시,경기도_부천시,ok
343557202300001,가정견훈련소,충청북도 증평군,개인,개+고양이,,2025-12-31,2024-12-09,충청북도 증평군 도안면 입장길 239  ,충청북도 증평군 도안면 송정리 12-3 ,36.846962,127.60822,09:00,18:00,09:00,18:00,,,,,토요일+일요일,1,1,,,,,,충청북도,증평군,충청북도_증평군,ok
328356201000001,가정동물병원,인천광역시 서구,동물병원,개+고양이+기타반려동물,032-575-0833,2025-02-11,2019-01-01,인천광역시 서구 가정로 346 (가정동) ,인천광역시 서구 가정동 517-32 ,37.51567,126.67304,10:30,20:00,,,,,,,2,2,4,,,,,1.0,인천광역시,서구,인천광역시_서구,ok
341416200900001,가평군유기동물보호소,경기도 가평군,법인,개+고양이+기타,031-580-4794,2025-01-21,2014-01-01,"경기도 가평군 가평읍 아랫마장길 59 (가평읍, 농업기술센터) 가평 유기동물 보호소(10:00~18:00)", 가평 유기동물 보호소(10:00~18:00),37.845997,127.4987,09:00,18:00,,,,,,,토요일+일요일,1,4,1.0,1.0,1.0,1.0,2.0,경기도,가평군,경기도_가평군,ok
331370201800001,강남동물병원,울산광역시 남구,동물병원,개+고양이,052-271-0075,2026-01-12,2020-01-09,울산광역시 남구 돋질로 232 (달동) 1층, 1층,35.542603,129.33047,10:00,17:00,,,,,,,토요일+일요일,2,1,,,,,,울산광역시,남구,울산광역시_남구,ok
311324201600001,강동구청 반려동물팀 ,서울특별시 강동구,법인,개+고양이,02-3425-6015,2025-12-31,2019-12-01,"서울특별시 강동구 성내로 25 (성내동, 강동구청) 강동구청 ", 강동구청 ,37.523876,127.13028,09:00,18:00,,,,,,,토요일+일요일+공휴일,0,0,,,,,,서울특별시,강동구,서울특별시_강동구,ok
311324201700002,강동리본센터(reborn),서울특별시 강동구,법인,개+고양이,070-4163-7350,2025-09-26,2017-11-24,서울특별시 강동구 양재대로81길 73 (성내동) ,서울특별시 강동구 성내동 448-15 ,37.523876,127.13028,10:00,19:00,,,10:00,18:00,,,0,0,4,,,,,,서울특별시,강동구,서울특별시_강동구,ok
342420201500001,강릉시 동물사랑센터,강원특별자치도 강릉시,단체,개,033-641-7515,2025-01-14,2006-01-01,강원도 강릉시 성산면 내맬길 172  ,강원도 강릉시 성산면 산북리 1193 ,37.698875,128.82927,09:00,18:00,:,:,:,:,:,:,토요일+일요일,1,3,1.0,15.0,1.0,1.0,2.0,,강릉시,_강릉시,ok
346492201300001,강진군 유기견 보호소,전라남도 강진군,법인,개,061-430-3237,2024-12-17,2015-08-21,"전라남도 강진군 강진읍 초지길 109-62 (강진읍, 강진군상하수도사업소) ",전라남도 강진군 강진읍 목리 495 ,34.624813,126.7774,09:00,18:00,09:00,18:00,,,,,토요일+일요일+공휴일,1,1,0.0,7.0,1.0,,1.0,전라남도,강진군,전라남도_강진군,ok
328357202400001,강화군 동물보호센터,인천광역시 강화군,동물병원,개+고양이+기타,,2026-01-05,2025-01-01,인천광역시 강화군 강화읍 강화대로 254-1  ,인천광역시 강화군 강화읍 갑곳리 364 ,37.741173,126.50122,10:00,19:00,,,,,,,일요일,2,3,,,,,,인천광역시,강화군,인천광역시_강화군,ok
348537200900002,거제시동물보호센터,경상남도 거제시,법인,개+고양이,055-639-6368,2025-09-29,2009-08-24,경상남도 거제시 사등면 두동로1길 107  거제시동물보호센터,경상남도 거제시 사등면 사곡리 375-6 반려동물지원센터 거제시동물보호센터,34.883755,128.57368,09:00,18:00,13:00,16:00,09:00,18:00,13:00,15:00,0,0,5,,,,,1.0,경상남도,거제시,경상남도_거제시,ok
348547202500001,거창군 동물보호소,경상남도 거창군,단체,개+고양이+기타,,2026-01-20,2025-12-22,경상남도 거창군 거창읍 가실길 203  ,경상남도 거창군 거창읍 가지리 1280 ,0.0,0.0,00:00,24:00,,,,,,,토요일+일요일,0,3,1.0,1.0,1.0,1.0,,경상남도,거창군,경상남도_거창군,ok
328350202100001,경동동물병원,인천광역시 동구,동물병원,개+고양이,032-765-9988,2024-12-31,2021-02-26,인천광역시 중구 개항로 68 (경동) 경동동물병원,인천광역시 중구 경동 240-60 경동동물병원,37.471954,126.629944,09:00,18:00,,,,,,,0,1,0,,,,,1.0,인천광역시,중구,인천광역시_중구,ok
328351200900001,경동동물병원,인천광역시 미추홀구,동물병원,개+고양이+기타,032-765-9988,2025-12-31,2007-12-19,인천광역시 중구 개항로 68 (경동) ,인천광역시 중구 경동 240-60 ,37.47196,126.629944,09:00,18:00,,,,,,,0,1,3,1.0,1.0,1.0,1.0,2.0,인천광역시,중구,인천광역시_중구,ok
328358202500001,경동동물병원,인천광역시 옹진군,동물병원,개+고양이,032-765-9988,2025-12-15,2025-04-01,인천광역시 중구 개항로 68 (경동) ,인천광역시 중구 경동 240-60 ,37.47237,126.629486,09:00,18:00,,,,,,,일요일,1,2,,,,,,인천광역시,중구,인천광역시_중구,ok
328352202500002,경동동물병원,인천광역시 연수구,동물병원,개+고양이+기타축종,032-765-9988,2025-12-31,2025-03-21,인천광역시 중구 개항로 68 (경동) 경동동물병원,인천광역시 중구 경동 240-60 경동동물병원,37.47196,126.629944,09:00,18:00,,,,,,,0,1,3,1.0,1.0,1.0,1.0,1.0,인천광역시,중구,인천광역시_중구,ok
328349201000001,경동동물병원,인천광역시 중구,동물병원,개+고양이+기타,032-765-9988,2024-12-31,2022-12-30,인천광역시 중구 개항로 68 (경동) , ,37.471954,126.629944,09:00,18:00,10:00,17:00,09:00,18:00,,,일요일,1,1,1.0,2.0,1.0,1.0,2.0,인천광역시,중구,인천광역시_중구,ok
347513201800003,경산시유기동물보호소,경상북도 경산시,동물병원,개+고양이,,2025-12-31,2022-01-01,경상북도 경산시 용성면 사양지길 95 (용성면) ,경상북도 경산시 용성면 부제리 737-3 ,35.778397,128.88507,00:00,24:00,,,,,,,일요일,1,3,1.0,5.0,2.0,1.0,1.0,경상북도,경산시,경상북도_경산시,ok
347505201700001,경주동물사랑보호센터,경상북도 경주시,법인,개+고양이+기타,,2025-09-26,2017-01-02,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시 천북면 신당리 915-21 경주시 동물보호센터 경주시 동물사랑보호센터,35.892956,129.23842,09:00,18:00,00:00,00:00,,,,,0,1,4,3.0,1.0,1.0,1.0,,경상북도,경주시,경상북도_경주시,ok
347520202000001,고령군 유기견 보호소,경상북도 고령군,개인,개+고양이,,2025-12-31,2025-01-01,경상북도 고령군 운수면 하법길 37 (운수면) ,경상북도 고령군 운수면 법리 345 ,35.771927,128.30037,10:00,18:00,,,,,,,토요일+일요일,1,2,,,,,,경상북도,고령군,경상북도_고령군,ok
348542202000002,고성군 동물가족센터,경상남도 고성군,법인,개+고양이,055-670-4346,2025-12-31,2020-09-07,경상남도 고성군 고성읍 동해로 123  고성군 동물가족센터,경상남도 고성군 고성읍 송학리 1-4 고성군 동물가족센터,34.996822,128.32538,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,0,1,0,,,,,1.0,경상남도,고성군,경상남도_고성군,ok
342434202500001,고성군 동물보호센터,강원특별자치도 고성군,법인,개,033-680-3722,2026-01-02,2025-12-29,강원특별자치도 고성군 간성읍 진부령로 2768-10  ,강원특별자치도 고성군 간성읍 교동리 976-15 ,38.38195,128.43439,09:00,18:00,,,09:00,18:00,,,토요일+일요일,1,3,1.0,9.0,1.0,1.0,1.0,강원특별자치도,고성군,강원특별자치도_고성군,ok
341394201400001,고양시동물보호센터,경기도 고양시,법인,개+고양이+기타축종,031-962-3232,2024-12-26,2014-02-19,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터", 고양시동물보호센터,37.649643,126.87027,09:00,22:00,,,09:00,18:00,,,0,2,6,,,,,,경기도,고양시,경기도_고양시,ok
348533202300001,고양이보호분양센터,경상남도 통영시,법인,고양이,055-650-6250,2024-12-17,2023-07-03,경상남도 통영시 한산면 호두1길 351  공공형 고양이 보호분양센터,경상남도 통영시 한산면 용호리 459-1 한산초등학교용초분교장 공공형 고양이 보호분양센터,34.749905,128.49411,09:00,18:00,,,,,,,월요일,0,0,,,,,,경상남도,통영시,경상남도_통영시,ok
346488201700001,고흥군임시보호센터,전라남도 고흥군,개인,개,,2026-02-27,2017-06-14,"전라남도 고흥군 포두면 우주로 607 (포두면, 소매점) ",전라남도 고흥군 포두면 상대리 86-1 ,34.570545,127.34101,09:00,18:00,,,,,,,토요일+일요일+공휴일,1,1,,,,,,전라남도,고흥군,전라남도_고흥군,ok
346486201600001,곡성군동물보호소,전라남도 곡성군,법인,개+고양이,061-360-8392,2025-10-01,2020-01-01,전라남도 곡성군 곡성읍 군청로 50  보호소 주소 : 전남 곡성군 곡성읍 구원리 888,전라남도 곡성군 곡성읍 읍내리 713-2 곡성군청 보호소 주소 : 전남 곡성군 곡성읍 구원리 888,35.28203,127.29196,09:00,18:00,09:00,18:00,,,,,토요일+일요일,0,1,,,,,1.0,전라남도,곡성군,전라남도_곡성군,ok
344450202200001,공주시 동물보호센터,충청남도 공주시,법인,개+고양이+기타,041-840-3495,2025-03-30,2022-07-01,충청남도 공주시 우성면 내산목천길 52-15  ,충청남도 공주시 우성면 도천리 1-2 농업기술센터 ,36.492302,127.100105,09:00,18:00,10:00,17:00,,,,,토요일+일요일+공휴일,0,2,,,,,,충청남도,공주시,충청남도_공주시,ok
341390202100002,광명반함센터,경기도 광명시,법인,개,02-2680-5001,2025-07-29,2021-09-15,경기도 광명시 오리로854번길 10 (철산동) 지하1층,경기도 광명시 철산동 419 지하1층,37.47437,126.86847,10:00,19:00,,,,,,,월요일,0,1,,,,,,경기도,광명시,경기도_광명시,ok
346484201900001,광양시 임시보호소,전라남도 광양시,법인,개+고양이+기타,061-797-3386,2025-12-31,2019-10-14,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24, 지곡리 864-24,34.987904,127.57652,09:00,18:00,10:00,17:00,,,,,토요일+일요일,1,1,1.0,1.0,1.0,1.0,1.0,전라남도,광양시,전라남도_광양시,ok
341554201300008,광주TNR동물병원송정,경기도 광주시,동물병원,개+고양이+반려동물,031-798-7583,2025-03-04,2022-03-01,경기도 광주시 경안천로 142 (송정동) 광주TNR동물병원,경기도 광주시 송정동 6-16 광주TNR동물병원,37.417343,127.275024,10:00,19:00,,,10:00,14:00,,,토요일+일요일,1,3,,,,,1.0,경기도,광주시,경기도_광주시,ok
341554201900001,광주TNR동물병원초월,경기도 광주시,동물병원,개+고양이+반려동물,031-798-7581,2025-03-04,2022-03-01,경기도 광주시 초월읍 현산로385번길 74-12 (초월읍) ,경기도 광주시 초월읍 지월리 713-2 ,37.415894,127.27616,10:00,19:00,,,,,,,토요일+일요일,1,3,,,,,1.0,경기도,광주시,경기도_광주시,ok
329362201300001,광주동물보호센터,광주광역시 북구,법인,개+고양이,062-613-6770,2025-01-09,2025-01-01,광주광역시 북구 본촌마을길 25-1 (본촌동) 광주동물보호센터,광주광역시 북구 본촌동 379-2 광주환경보건연구원 광주동물보호센터,35.222713,126.88215,09:00,18:00,13:30,16:30,09:00,18:00,13:30,16:30,월요일,1,9,,,,,1.0,광주광역시,북구,광주광역시_북구,ok
329363201300001,광주동물보호센터,광주광역시 광산구,법인,개+고양이,062-613-6770,2025-01-09,2025-01-01,광주광역시 북구 본촌마을길 25-1 (본촌동) 광주동물보호센터,광주광역시 북구 본촌동 379-2 광주환경보건연구원 광주동물보호센터,35.222713,126.88215,09:00,18:00,,,,,,,월요일,1,9,,,,,,광주광역시,북구,광주광역시_북구,ok
329360201300001,광주동물보호센터,광주광역시 서구,법인,개+고양이,062-613-6770,2025-01-08,2025-01-01,광주광역시 북구 본촌마을길 25-1 (본촌동) 광주동물보호센터,광주광역시 북구 본촌동 379-2 광주환경보건연구원 광주동물보호센터,35.222713,126.88215,09:00,18:00,,,,,,,월요일,1,9,,,,,,광주광역시,북구,광주광역시_북구,ok
329359201300001,광주동물보호센터,광주광역시 동구,법인,개+고양이,062-613-6770,2025-01-08,2025-01-01,광주광역시 북구 본촌마을길 25-1 (본촌동) 광주동물보호센터,광주광역시 북구 본촌동 379-2 광주환경보건연구원 광주동물보호센터,35.222713,126.88215,09:00,18:00,,,,,,,월요일,1,9,,,,,,광주광역시,북구,광주광역시_북구,ok
329629202500001,광주동물보호센터,광주광역시,법인,개+고양이,062-613-6770,2025-01-02,2025-01-01,광주광역시 북구 본촌마을길 25-1 (본촌동) 광주동물보호센터,광주광역시 북구 본촌동 379-2 광주환경보건연구원 광주동물보호센터,35.222713,126.88215,09:00,18:00,,,,,,,월요일,1,9,,,,,,광주광역시,북구,광주광역시_북구,ok
329361201300001,광주동물보호센터,광주광역시 남구,법인,개+고양이,062-613-6770,2025-01-09,2025-01-01,광주광역시 북구 본촌마을길 25-1 (본촌동) 광주동물보호센터,광주광역시 북구 본촌동 379-2 광주환경보건연구원 광주동물보호센터,35.222713,126.88215,09:00,18:00,,,,,,,월요일,1,9,,,,,,광주광역시,북구,광주광역시_북구,ok
343446201800002,괴산증평동물보호센터,충청북도 괴산군,개인,개,,2026-01-07,2018-08-06,충청북도 증평군 도안면 입장길 239 (도안면) , ,36.846966,127.60824,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,0,1,2,1.0,,1.0,1.0,1.0,충청북도,증평군,충청북도_증평군,ok
346487201800001,구례군동물보호센터,전라남도 구례군,법인,개,061-781-2022,2024-11-27,2021-04-13,전라남도 구례군 용방면 용방로 64-11  ,전라남도 구례군 용방면 사림리 794-6 ,35.222416,127.45878,09:00,18:00,10:00,17:00,,,,,토요일+일요일+공휴일,0,2,1.0,1.0,1.0,1.0,1.0,전라남도,구례군,전라남도_구례군,ok
311316202500001,구로댕냥이네,서울특별시 구로구,법인,고양이,02-2636-7649,,2025-09-18,서울특별시 구로구 경인로 472 (구로동) 구로댕냥이네,서울특별시 구로구 구로동 631-23 서울반려동물교육센터 구로댕냥이네,37.505543,126.88562,09:00,18:00,,,,,,,월요일,0,1,,,,,,서울특별시,구로구,서울특별시_구로구,ok
341398202300001,구리시 반려돌봄센터,경기도 구리시,법인,개+고양이,031-566-0059,2025-07-29,2023-12-21,경기도 구리시 동구릉로136번길 57 (인창동) 2층,경기도 구리시 인창동 430 구리유통종합상가 2층,37.61347,127.14054,10:00,19:00,,,,,,,월요일,0,0,,,,,,경기도,구리시,경기도_구리시,ok
347508202000001,구미시 동물보호센터,경상북도 구미시,법인,개+고양이,054-471-5718,2025-02-03,2024-12-05,경상북도 구미시 옥성면 선상동로 1358  애니멀 케어 센터,경상북도 구미시 옥성면 구봉리 31-1 애니멀 케어 센터,36.3401,128.27876,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,일요일,1,3,1.0,2.0,1.0,1.0,,경상북도,구미시,경상북도_구미시,ok
345467201000001,군산유기동물보호센터,전북특별자치도 군산시,법인,개+고양이+기타,063-451-2975,2026-03-05,2018-02-01,전북특별자치도 군산시 대야면 보덕안정길 124  ,전북특별자치도 군산시 대야면 보덕리 829 ,35.960815,126.81631,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,공휴일,1,10,1.0,10.0,2.0,1.0,2.0,전북특별자치도,군산시,전북특별자치도_군산시,ok
327514202400001,군위종합동물병원,대구광역시 군위군,동물병원,개+고양이,,2026-01-21,2026-01-01,대구광역시 군위군 군위읍 군청로 49-18  1층,대구광역시 군위군 군위읍 서부리 151-126 1층,36.230713,128.56616,10:00,18:00,,,,,,,토요일+일요일,1,1,,,,,,대구광역시,군위군,대구광역시_군위군,ok
327346201800002,금강동물병원,대구광역시 수성구,동물병원,개+고양이+기타,053-746-7111,2025-01-03,2018-01-30,대구광역시 수성구 동원로 150 (만촌동) 금강동물병원, 금강동물병원,35.87167,128.63585,09:30,18:30,,,,,,,일요일,1,1,,,,,,대구광역시,수성구,대구광역시_수성구,ok
328353202600003,길동물병원,인천광역시 남동구,동물병원,개+고양이+기타,032-467-1275,2026-01-05,2026-01-01,인천광역시 남동구 구월로 317 (만수동) ,인천광역시 남동구 만수동 889-15 용정빌딩 ,37.4557,126.72592,10:00,18:00,10:00,18:00,10:00,14:00,,,일요일,1,2,1.0,16.0,3.0,1.0,,인천광역시,남동구,인천광역시_남동구,ok
347506201300001,김천시 동물보호센터,경상북도 김천시,법인,개+고양이+기타,054-421-2547,2024-05-02,2024-03-01,경상북도 김천시 구성면 남김천대로 3296-22  하강리 44(김천시 유기동물보호센터),경상북도 김천시 구성면 하강리 56 농업기술센타 하강리 44(김천시 유기동물보호센터),36.080418,128.10065,09:00,18:00,09:00,18:00,10:00,14:00,10:00,14:00,토요일+일요일,1,4,1.0,1.0,1.0,1.0,1.0,경상북도,김천시,경상북도_김천시,ok
346483202100001,나주유기동물보호센터,전라남도 나주시,개인,개+고양이,,2026-01-05,2021-06-14,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,전라남도 나주시 산포면 내기리 616 ,35.048203,126.78124,08:00,18:00,08:00,18:00,09:00,12:00,09:00,12:00,일요일,0,3,1.0,,1.0,1.0,2.0,전라남도,나주시,전라남도_나주시,ok
344457202000001,남부여동물보호소,충청남도 부여군,동물병원,개+고양이,041-837-8277,2025-12-31,2020-01-01,충청남도 부여군 임천면 위덕로47번길 36-12  (점리),충청남도 부여군 임천면 점리 922 (점리),36.21589,126.89092,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,토요일+일요일,2,2,1.0,28.0,20.0,1.0,1.0,충청남도,부여군,충청남도_부여군,ok
311302201000020,남산동물병원,서울특별시 용산구,동물병원,개+고양이,02-778-7582,2024-11-29,2021-01-01,서울특별시 용산구 후암로 51 (후암동) 1층,서울특별시 용산구 후암동 63-1 1층,37.550404,126.97707,10:00,19:00,,,,,,,토요일+일요일,1,0,,,,,,서울특별시,용산구,서울특별시_용산구,ok
341399202200002,남양주시동물보호센터,경기도 남양주시,법인,개+고양이+기타,031-590-2785,2026-01-06,2022-12-16,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시 이패동 484 ,37.608788,127.191536,09:00,18:00,,,,,,,일요일,1,5,,,,,,경기도,남양주시,경기도_남양주시,ok
348543201300001,남해군동물보호센터,경상남도 남해군,법인,개+고양이+기타,055-860-3973,2025-10-30,2024-07-16,경상남도 남해군 이동면 남해대로 2449  동물보호센터,경상남도 남해군 이동면 다정리 971 남해군농업기술센터 동물보호센터,34.80354,127.95367,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,토요일+일요일+공휴일,1,3,1.0,1.0,1.0,1.0,1.0,경상남도,남해군,경상남도_남해군,ok
